timestamp,id,text,truncated,hashtags,symbols,retweet_count,favorite_count,possibly_sensitive_link,lang,result_type,filtered_for,user_handle,user_name,user_follower_count,user_favorites_count,user_lifetime_interactions
Mon Nov 11 00:07:54 +0000 2019,1193681722975674368,"BREAKING: Trump has fired Lt Col Vindman, whose damning testimony confirmed Trump tried to bribe and extort Ukraine… https://t.co/GPe2p9p2cX",True,[],[],23838,60340,,en,popular,disgusting,funder,Scott Dworkin,539346,109514,220202
Sun Nov 10 14:39:02 +0000 2019,1193538560042950657,The “whistleblower” &amp; all of his supposed sources should testify &amp; answer GOP questions. Schiff blocking this would… https://t.co/2nXDL7JJyO,True,[],[],8376,22489,,en,popular,disgusting,RepLeeZeldin,Lee Zeldin,137177,27,2628
Sun Nov 10 14:41:38 +0000 2019,1193539217386856450,"A disgusting, filthy attack by an utterly failed excuse for a human being. This disgraceful, baseless attack on a g… https://t.co/xkbj6gAlQh",True,[],[],2632,6814,False,en,popular,disgusting,dbongino,Dan Bongino,1285517,54818,54230
Mon Nov 11 05:02:29 +0000 2019,1193755855511908353,disgusting 🤮,False,[],[],0,0,,en,recent,disgusting,btstinapay,tinapay 🍞🥯🥖,42,24286,14309
Mon Nov 11 05:02:25 +0000 2019,1193755839397449728,Men are disgusting gang raped a sex doll n broke it. https://t.co/7sZAhvEVnq,False,[],[],0,0,False,en,recent,disgusting,reachangels111,Archangel Haniel,555,25550,19102
Mon Nov 11 05:02:22 +0000 2019,1193755826000973824,I always thought Mr. Pickles was idiotic and disgusting but it's apparently still on TV so congrats I guess,False,[],[],0,0,,en,recent,disgusting,JellyTBeagle,Jelly,299,10502,22352
Mon Nov 11 05:02:12 +0000 2019,1193755784544284672,There's a lot of things I won't post about. But this fucking BLOWS my mind. How could someone be so completely IGNO… https://t.co/7dXqaH6bar,True,[],[],0,0,False,en,recent,disgusting,lexycraft98,Lexy♍,204,6669,1779
Mon Nov 11 05:02:10 +0000 2019,1193755775086288898,This is disgusting.. I actually cried.. https://t.co/nEMOKd7i3i,False,[],[],0,0,False,en,recent,disgusting,Gindarknessdies,Ginsdarknessdies,30,73,119
Mon Nov 11 05:02:03 +0000 2019,1193755746271260674,why is the network apologizing instead of don cherry?? he should be the one apologizing for his disgusting comment… https://t.co/MfVKWBr26j,True,[],[],0,0,False,en,recent,disgusting,alsoknownasE,e money,189,4220,6261
Mon Nov 11 05:01:50 +0000 2019,1193755693330894849,Disgusting https://t.co/ypUjWZ5imb,False,[],[],0,0,False,en,recent,disgusting,JaneesaLueShue,Janeesa Lue Shue,111,6084,1372
Mon Nov 11 05:01:38 +0000 2019,1193755640683909120,LETS GO!! Lets go! IM SO GLAD PPL ARE SEEING THE LIGHT ON THIS DISGUSTING PERSON https://t.co/qvj9p9mQWP,False,[],[],0,0,False,en,recent,disgusting,sapphicange,brea,859,36737,50323
Mon Nov 11 05:01:33 +0000 2019,1193755622568800256,you’re ugly you’re disgusting i’m gonna kill you give me two hundred dollars,False,[],[],0,0,,en,recent,disgusting,Monica_McGough,Monica,878,7558,7459
Mon Nov 11 05:01:26 +0000 2019,1193755590281113600,Disgusting https://t.co/1tiWmoAxWx,False,[],[],0,0,False,en,recent,disgusting,kankaburbaley,BCSurvior🎀✝️🦋🙏🏻🎀,182,30390,17109
Mon Nov 11 05:01:22 +0000 2019,1193755574627979264,This is absolutely disgusting. https://t.co/oQjEdXcp5V,False,[],[],0,0,False,en,recent,disgusting,vanillaROSE__,Laurennnnn,827,8136,48282
Mon Nov 11 05:01:03 +0000 2019,1193755493769986050,Kuzma padding his stats now...disgusting,False,[],[],1,3,,en,recent,disgusting,1D1MO,DMO 🐺🍂,2820,226307,152425
Sun Nov 10 14:39:00 +0000 2019,1193538553680220160,Kate Snow is a dumb fuck for sure....this is disgusting https://t.co/gpXd4P62Nf,False,[],[],0,0,False,en,recent,disgusting,hardy9_t,GamecockPuck18,108,1590,3159
Sun Nov 10 14:38:50 +0000 2019,1193538509186965504,Omg everyone just watched and let her do that... disgusting. https://t.co/POyteONdPe,False,[],[],0,0,False,en,recent,disgusting,nazayon_,naz,712,33776,9046
Sun Nov 10 14:38:37 +0000 2019,1193538456628191234,How do you expect to educate a child who is very clearly starving and unable to learn and participate without at le… https://t.co/hZbbMbD1CV,True,[],[],1,20,False,en,recent,disgusting,molsimons,mol,2010,50231,22634
Sun Nov 10 14:38:27 +0000 2019,1193538412973875206,Fucking disgusting. Let him rest peacefully what the fuck is this. https://t.co/hLY094CRuK,False,[],[],0,2,False,en,recent,disgusting,DaniyaA6,dano,2526,51904,27710
Sun Nov 10 14:38:22 +0000 2019,1193538394267226112,"I have a dilemma.

I don't know if retweeting some anti that says really disgusting things can help the cause.

I f… https://t.co/JrvMinyNMr",True,[],[],0,1,,en,recent,disgusting,SpeechBubble5,SpeechBubble,7,16,129
Sun Nov 10 14:38:20 +0000 2019,1193538385291436032,the fact that no one has brought me food yet today is quite disgusting actually,False,[],[],0,0,,en,recent,disgusting,Hollyv_m,danny defeeto,712,31879,10825
Sun Nov 10 14:38:18 +0000 2019,1193538376579735552,Lies lies lies.  You disgusting traitor. Your and your town drunk co-conspirator are using MY MONEY from MY SAVINGS… https://t.co/ezCDLtHrmC,True,[],[],0,0,False,en,recent,disgusting,bhaynnes2,@bhaynnes2 Massively Shadow Banned,10836,62821,97538
Sun Nov 10 14:38:15 +0000 2019,1193538365724987399,You are really disgusting brother. https://t.co/FO9yQBVPta,False,[],[],0,1,True,en,recent,disgusting,Vashthegoat,🚶🏾‍♂️🚶🏾‍♂️🚶🏾‍♂️#EBH,115,2119,6683
Sun Nov 10 14:38:13 +0000 2019,1193538357063815168,You are disgusting. https://t.co/pZYYMBm2Qv,False,[],[],0,0,False,en,recent,disgusting,zayngotthatsalt,Fine Flames,963,30556,25332
Sun Nov 10 14:38:12 +0000 2019,1193538351594274816,"This is so disgusting, personal privacy, learn it🙄 https://t.co/pqtOQ7k7sr",False,[],[],0,1,False,en,recent,disgusting,Amy_bellxx,Amy💗,3581,26256,62425
Sun Nov 10 14:38:12 +0000 2019,1193538351376171010,"Not to be horny on main, and i really try not to but i really just want to eat straight man ass i know its disgusting",False,[],[],0,0,,en,recent,disgusting,Bulbapoor,🧖🏾‍♂️,22,2020,371
